Year,North,Northeast,Central,South,Bangkok
2550,11871934,21385647,15409587,8654831,5716248
2552,11770233,21495825,15742529,8813880,5702595
2554,11783311,21585883,16060141,8971855,5674843
2556,11825955,21775407,16366870,9131425,5686252
2558,12072421,21916034,16753526,9290708,5696409
2560,12098164,21989477,17018869,9399578,5682415
2562,12119572,22014248,17265094,9493757,5666264
2564,12010024,21826920,17314234,9492267,5527994
